t,theta,omega,energy
2.65,-0.100821,-2.37633,2.87328
2.651,-0.103196,-2.37533,2.87328
2.652,-0.105571,-2.37431,2.87328
2.653,-0.107945,-2.37326,2.87328
2.654,-0.110318,-2.37219,2.87328
2.655,-0.112689,-2.3711,2.87328
2.656,-0.11506,-2.36999,2.87328
2.657,-0.117429,-2.36885,2.87328
2.658,-0.119798,-2.36769,2.87328
2.659,-0.122165,-2.3665,2.87328
2.66,-0.124531,-2.3653,2.87328
2.661,-0.126895,-2.36407,2.87328
2.662,-0.129259,-2.36281,2.87328
2.663,-0.131621,-2.36154,2.87328
2.664,-0.133982,-2.36024,2.87328
2.665,-0.136341,-2.35892,2.87328
2.666,-0.1387,-2.35757,2.87328
2.667,-0.141056,-2.3562,2.87328
2.668,-0.143412,-2.35481,2.87328
2.669,-0.145766,-2.3534,2.87328
2.67,-0.148119,-2.35196,2.87328
2.671,-0.15047,-2.3505,2.87328
2.672,-0.15282,-2.34902,2.87328
2.673,-0.155168,-2.34752,2.87328
2.674,-0.157515,-2.34599,2.87328
2.675,-0.15986,-2.34444,2.87328
2.676,-0.162204,-2.34287,2.87328
2.677,-0.164546,-2.34127,2.87328
2.678,-0.166886,-2.33965,2.87328
2.679,-0.169225,-2.33801,2.87328
2.68,-0.171562,-2.33635,2.87328
2.681,-0.173898,-2.33466,2.87328
2.682,-0.176232,-2.33295,2.87328
2.683,-0.178564,-2.33122,2.87328
2.684,-0.180894,-2.32947,2.87328
2.685,-0.183223,-2.32769,2.87328
2.686,-0.185549,-2.3259,2.87328
2.687,-0.187874,-2.32407,2.87328
2.688,-0.190198,-2.32223,2.87328
2.689,-0.192519,-2.32036,2.87328
2.69,-0.194838,-2.31848,2.87328
2.691,-0.197156,-2.31657,2.87328
2.692,-0.199471,-2.31463,2.87328
2.693,-0.201785,-2.31268,2.87328
2.694,-0.204097,-2.3107,2.87328
2.695,-0.206406,-2.3087,2.87328
2.696,-0.208714,-2.30668,2.87328
2.697,-0.21102,-2.30464,2.87328
2.698,-0.213323,-2.30257,2.87328
2.699,-0.215625,-2.30048,2.87328
2.7,-0.217924,-2.29837,2.87328
2.701,-0.220222,-2.29624,2.87328
2.702,-0.222517,-2.29409,2.87328
2.703,-0.22481,-2.29191,2.87328
2.704,-0.227101,-2.28971,2.87328
2.705,-0.229389,-2.28749,2.87328
2.706,-0.231676,-2.28525,2.87328
2.707,-0.23396,-2.28299,2.87328
2.708,-0.236242,-2.2807,2.87328
2.709,-0.238521,-2.2784,2.87328
2.71,-0.240798,-2.27607,2.87328
2.711,-0.243073,-2.27372,2.87328
2.712,-0.245346,-2.27135,2.87328
2.713,-0.247616,-2.26895,2.87328
2.714,-0.249884,-2.26654,2.87328
2.715,-0.252149,-2.2641,2.87328
2.716,-0.254412,-2.26164,2.87328
2.717,-0.256672,-2.25916,2.87328
2.718,-0.25893,-2.25666,2.87328
2.719,-0.261186,-2.25414,2.87328
2.72,-0.263438,-2.2516,2.87328
2.721,-0.265689,-2.24903,2.87328
2.722,-0.267937,-2.24644,2.87328
2.723,-0.270182,-2.24384,2.87328
2.724,-0.272424,-2.24121,2.87328
2.725,-0.274664,-2.23856,2.87328
2.726,-0.276901,-2.23589,2.87328
2.727,-0.279136,-2.23319,2.87328
2.728,-0.281368,-2.23048,2.87328
2.729,-0.283597,-2.22775,2.87328
2.73,-0.285823,-2.22499,2.87328
2.731,-0.288047,-2.22221,2.87328
2.732,-0.290268,-2.21942,2.87328
2.733,-0.292486,-2.2166,2.87328
2.734,-0.294701,-2.21376,2.87328
2.735,-0.296913,-2.2109,2.87328
2.736,-0.299123,-2.20802,2.87328
2.737,-0.301329,-2.20512,2.87328
2.738,-0.303533,-2.2022,2.87328
2.739,-0.305734,-2.19925,2.87328
2.74,-0.307931,-2.19629,2.87328
2.741,-0.310126,-2.19331,2.87328
2.742,-0.312318,-2.1903,2.87328
2.743,-0.314507,-2.18728,2.87328
2.744,-0.316692,-2.18423,2.87328
2.745,-0.318875,-2.18117,2.87328
2.746,-0.321055,-2.17808,2.87328
2.747,-0.323231,-2.17498,2.87328
2.748,-0.325405,-2.17185,2.87328
2.749,-0.327575,-2.1687,2.87328
2.75,-0.329742,-2.16554,2.87328
2.751,-0.331906,-2.16235,2.87328
2.752,-0.334067,-2.15914,2.87328
2.753,-0.336224,-2.15592,2.87328
2.754,-0.338379,-2.15267,2.87328
2.755,-0.34053,-2.14941,2.87328
2.756,-0.342677,-2.14612,2.87328
2.757,-0.344822,-2.14281,2.87328
2.758,-0.346963,-2.13949,2.87328
2.759,-0.349101,-2.13614,2.87328
2.76,-0.351235,-2.13278,2.87328
2.761,-0.353366,-2.12939,2.87328
2.762,-0.355494,-2.12599,2.87328
2.763,-0.357618,-2.12256,2.87328
2.764,-0.359739,-2.11912,2.87328
2.765,-0.361857,-2.11566,2.87328
2.766,-0.363971,-2.11217,2.87328
2.767,-0.366081,-2.10867,2.87328
2.768,-0.368188,-2.10515,2.87328
2.769,-0.370291,-2.10161,2.87328
2.77,-0.372391,-2.09805,2.87328
2.771,-0.374487,-2.09447,2.87328
2.772,-0.37658,-2.09087,2.87328
2.773,-0.378669,-2.08726,2.87328
2.774,-0.380755,-2.08362,2.87328
2.775,-0.382836,-2.07996,2.87328
2.776,-0.384914,-2.07629,2.87328
2.777,-0.386989,-2.0726,2.87328
2.778,-0.38906,-2.06889,2.87328
2.779,-0.391127,-2.06515,2.87328
2.78,-0.39319,-2.06141,2.87328
2.781,-0.395249,-2.05764,2.87328
2.782,-0.397305,-2.05385,2.87328
2.783,-0.399357,-2.05005,2.87328
2.784,-0.401405,-2.04622,2.87328
2.785,-0.40345,-2.04238,2.87328
2.786,-0.40549,-2.03852,2.87328
2.787,-0.407527,-2.03464,2.87328
2.788,-0.409559,-2.03074,2.87328
2.789,-0.411588,-2.02683,2.87328
2.79,-0.413613,-2.02289,2.87328
2.791,-0.415634,-2.01894,2.87328
2.792,-0.417651,-2.01497,2.87328
2.793,-0.419664,-2.01098,2.87328
2.794,-0.421673,-2.00698,2.87328
2.795,-0.423678,-2.00295,2.87328
2.796,-0.425679,-1.99891,2.87328
2.797,-0.427676,-1.99485,2.87328
2.798,-0.429668,-1.99077,2.87328
2.799,-0.431657,-1.98668,2.87328
2.8,-0.433642,-1.98257,2.87328
2.801,-0.435622,-1.97844,2.87328
2.802,-0.437599,-1.97429,2.87328
2.803,-0.439571,-1.97012,2.87328
2.804,-0.441539,-1.96594,2.87328
2.805,-0.443503,-1.96174,2.87328
2.806,-0.445462,-1.95752,2.87328
2.807,-0.447418,-1.95328,2.87328
2.808,-0.449369,-1.94903,2.87328
2.809,-0.451316,-1.94476,2.87328
2.81,-0.453258,-1.94047,2.87328
2.811,-0.455197,-1.93617,2.87328
2.812,-0.457131,-1.93185,2.87328
2.813,-0.45906,-1.92751,2.87328
2.814,-0.460986,-1.92315,2.87328
2.815,-0.462907,-1.91878,2.87328
2.816,-0.464823,-1.91439,2.87328
2.817,-0.466736,-1.90999,2.87328
2.818,-0.468643,-1.90556,2.87328
2.819,-0.470547,-1.90112,2.87328
2.82,-0.472446,-1.89667,2.87328
2.821,-0.47434,-1.8922,2.87328
2.822,-0.47623,-1.88771,2.87328
2.823,-0.478115,-1.8832,2.87328
2.824,-0.479996,-1.87868,2.87328
2.825,-0.481873,-1.87414,2.87328
2.826,-0.483745,-1.86959,2.87328
2.827,-0.485612,-1.86502,2.87328
2.828,-0.487475,-1.86043,2.87328
2.829,-0.489333,-1.85583,2.87328
2.83,-0.491186,-1.85121,2.87328
2.831,-0.493035,-1.84657,2.87328
2.832,-0.494879,-1.84192,2.87328
2.833,-0.496719,-1.83725,2.87328
2.834,-0.498554,-1.83257,2.87328
2.835,-0.500384,-1.82787,2.87328
2.836,-0.50221,-1.82316,2.87328
2.837,-0.50403,-1.81843,2.87328
2.838,-0.505847,-1.81368,2.87328
2.839,-0.507658,-1.80892,2.87328
2.84,-0.509464,-1.80415,2.87328
2.841,-0.511266,-1.79935,2.87328
2.842,-0.513063,-1.79455,2.87328
2.843,-0.514855,-1.78972,2.87328
2.844,-0.516642,-1.78488,2.87328
2.845,-0.518425,-1.78003,2.87328
2.846,-0.520203,-1.77516,2.87328
2.847,-0.521975,-1.77028,2.87328
2.848,-0.523743,-1.76538,2.87328
2.849,-0.525506,-1.76047,2.87328
2.85,-0.527264,-1.75554,2.87328
2.851,-0.529017,-1.75059,2.87328
2.852,-0.530765,-1.74564,2.87328
2.853,-0.532508,-1.74066,2.87328
2.854,-0.534247,-1.73567,2.87328
2.855,-0.53598,-1.73067,2.87328
2.856,-0.537708,-1.72566,2.87328
2.857,-0.539431,-1.72062,2.87328
2.858,-0.541149,-1.71558,2.87328
2.859,-0.542862,-1.71052,2.87328
2.86,-0.54457,-1.70544,2.87328
2.861,-0.546273,-1.70035,2.87328
2.862,-0.547971,-1.69525,2.87328
2.863,-0.549664,-1.69013,2.87328
2.864,-0.551351,-1.685,2.87328
2.865,-0.553034,-1.67985,2.87328
2.866,-0.554711,-1.67469,2.87328
2.867,-0.556383,-1.66952,2.87328
2.868,-0.55805,-1.66433,2.87328
2.869,-0.559712,-1.65913,2.87328
2.87,-0.561368,-1.65392,2.87328
2.871,-0.563019,-1.64869,2.87328
2.872,-0.564665,-1.64344,2.87328
2.873,-0.566306,-1.63819,2.87328
2.874,-0.567942,-1.63292,2.87328
2.875,-0.569572,-1.62763,2.87328
2.876,-0.571197,-1.62234,2.87328
2.877,-0.572817,-1.61703,2.87328
2.878,-0.574431,-1.6117,2.87328
2.879,-0.57604,-1.60637,2.87328
2.88,-0.577644,-1.60102,2.87328
2.881,-0.579242,-1.59565,2.87328
2.882,-0.580835,-1.59028,2.87328
2.883,-0.582423,-1.58489,2.87328
2.884,-0.584005,-1.57948,2.87328
2.885,-0.585582,-1.57407,2.87328
2.886,-0.587153,-1.56864,2.87328
2.887,-0.588719,-1.5632,2.87328
2.888,-0.590279,-1.55775,2.87328
2.889,-0.591834,-1.55228,2.87328
2.89,-0.593384,-1.5468,2.87328
2.891,-0.594928,-1.54131,2.87328
2.892,-0.596467,-1.5358,2.87328
2.893,-0.598,-1.53029,2.87328
2.894,-0.599527,-1.52476,2.87328
2.895,-0.601049,-1.51922,2.87328
2.896,-0.602566,-1.51366,2.87328
2.897,-0.604077,-1.5081,2.87328
2.898,-0.605582,-1.50252,2.87328
2.899,-0.607082,-1.49693,2.87328
2.9,-0.608576,-1.49133,2.87328
2.901,-0.610064,-1.48571,2.87328
2.902,-0.611547,-1.48008,2.87328
2.903,-0.613024,-1.47445,2.87328
2.904,-0.614496,-1.4688,2.87328
2.905,-0.615962,-1.46313,2.87328
2.906,-0.617422,-1.45746,2.87328
2.907,-0.618877,-1.45178,2.87328
2.908,-0.620326,-1.44608,2.87328
2.909,-0.621769,-1.44037,2.87328
2.91,-0.623207,-1.43465,2.87328
2.911,-0.624638,-1.42892,2.87328
2.912,-0.626064,-1.42318,2.87328
2.913,-0.627485,-1.41742,2.87328
2.914,-0.628899,-1.41166,2.87328
2.915,-0.630308,-1.40588,2.87328
2.916,-0.631711,-1.40009,2.87328
2.917,-0.633108,-1.3943,2.87328
2.918,-0.6345,-1.38849,2.87328
2.919,-0.635885,-1.38267,2.87328
2.92,-0.637265,-1.37683,2.87328
2.921,-0.638639,-1.37099,2.87328
2.922,-0.640007,-1.36514,2.87328
2.923,-0.641369,-1.35927,2.87328
2.924,-0.642725,-1.3534,2.87328
2.925,-0.644076,-1.34751,2.87328
2.926,-0.64542,-1.34162,2.87328
2.927,-0.646759,-1.33571,2.87328
2.928,-0.648092,-1.3298,2.87328
2.929,-0.649419,-1.32387,2.87328
2.93,-0.65074,-1.31793,2.87328
2.931,-0.652055,-1.31198,2.87328
2.932,-0.653364,-1.30603,2.87328
2.933,-0.654667,-1.30006,2.87328
2.934,-0.655964,-1.29408,2.87328
2.935,-0.657255,-1.28809,2.87328
2.936,-0.65854,-1.28209,2.87328
2.937,-0.659819,-1.27608,2.87328
2.938,-0.661092,-1.27007,2.87328
2.939,-0.662359,-1.26404,2.87328
2.94,-0.66362,-1.258,2.87328
2.941,-0.664875,-1.25195,2.87328
2.942,-0.666124,-1.2459,2.87328
2.943,-0.667367,-1.23983,2.87328
2.944,-0.668604,-1.23375,2.87328
2.945,-0.669834,-1.22767,2.87328
2.946,-0.671059,-1.22157,2.87328
2.947,-0.672277,-1.21547,2.87328
2.948,-0.67349,-1.20935,2.87328
2.949,-0.674696,-1.20323,2.87328
2.95,-0.675896,-1.1971,2.87328
2.951,-0.67709,-1.19095,2.87328
2.952,-0.678278,-1.1848,2.87328
2.953,-0.67946,-1.17864,2.87328
2.954,-0.680636,-1.17248,2.87328
2.955,-0.681805,-1.1663,2.87328
2.956,-0.682968,-1.16011,2.87328
2.957,-0.684125,-1.15392,2.87328
2.958,-0.685276,-1.14771,2.87328
2.959,-0.686421,-1.1415,2.87328
2.96,-0.687559,-1.13528,2.87328
2.961,-0.688691,-1.12905,2.87328
2.962,-0.689817,-1.12281,2.87328
2.963,-0.690937,-1.11656,2.87328
2.964,-0.69205,-1.1103,2.87328
2.965,-0.693157,-1.10404,2.87328
2.966,-0.694258,-1.09777,2.87328
2.967,-0.695353,-1.09149,2.87328
2.968,-0.696441,-1.0852,2.87328
2.969,-0.697523,-1.0789,2.87328
2.97,-0.698599,-1.0726,2.87328
2.971,-0.699668,-1.06628,2.87328
2.972,-0.700732,-1.05996,2.87328
2.973,-0.701788,-1.05363,2.87328
2.974,-0.702839,-1.04729,2.87328
2.975,-0.703883,-1.04095,2.87328
2.976,-0.704921,-1.0346,2.87328
2.977,-0.705952,-1.02824,2.87328
2.978,-0.706977,-1.02187,2.87328
2.979,-0.707996,-1.01549,2.87328
2.98,-0.709008,-1.00911,2.87328
2.981,-0.710014,-1.00272,2.87328
2.982,-0.711014,-0.99632,2.87328
2.983,-0.712007,-0.989915,2.87328
2.984,-0.712993,-0.983501,2.87328
2.985,-0.713974,-0.977081,2.87328
2.986,-0.714948,-0.970653,2.87328
2.987,-0.715915,-0.964219,2.87328
2.988,-0.716876,-0.957777,2.87328
2.989,-0.717831,-0.951328,2.87328
2.99,-0.718779,-0.944872,2.87328
2.991,-0.71972,-0.938409,2.87328
2.992,-0.720656,-0.931939,2.87328
2.993,-0.721584,-0.925462,2.87328
2.994,-0.722506,-0.918978,2.87328
2.995,-0.723422,-0.912488,2.87328
2.996,-0.724331,-0.905991,2.87328
2.997,-0.725234,-0.899487,2.87328
2.998,-0.72613,-0.892977,2.87328
2.999,-0.72702,-0.88646,2.87328
3,-0.727903,-0.879936,2.87328
3.001,-0.72878,-0.873406,2.87328
3.002,-0.72965,-0.86687,2.87328
3.003,-0.730514,-0.860328,2.87328
3.004,-0.731371,-0.853779,2.87328
3.005,-0.732221,-0.847224,2.87328
3.006,-0.733065,-0.840662,2.87328
3.007,-0.733903,-0.834095,2.87328
3.008,-0.734733,-0.827521,2.87328
3.009,-0.735558,-0.820942,2.87328
3.01,-0.736375,-0.814356,2.87328
3.011,-0.737186,-0.807765,2.87328
3.012,-0.737991,-0.801168,2.87328
3.013,-0.738789,-0.794565,2.87328
3.014,-0.73958,-0.787956,2.87328
3.015,-0.740365,-0.781341,2.87328
3.016,-0.741143,-0.774721,2.87328
3.017,-0.741914,-0.768095,2.87328
3.018,-0.742679,-0.761464,2.87328
3.019,-0.743437,-0.754827,2.87328
3.02,-0.744188,-0.748184,2.87328
3.021,-0.744933,-0.741537,2.87328
3.022,-0.745672,-0.734884,2.87328
3.023,-0.746403,-0.728225,2.87328
3.024,-0.747128,-0.721562,2.87328
3.025,-0.747846,-0.714893,2.87328
3.026,-0.748558,-0.708219,2.87328
3.027,-0.749263,-0.70154,2.87328
3.028,-0.749961,-0.694856,2.87328
3.029,-0.750652,-0.688167,2.87328
3.03,-0.751337,-0.681473,2.87328
3.031,-0.752015,-0.674774,2.87328
3.032,-0.752687,-0.66807,2.87328
3.033,-0.753351,-0.661361,2.87328
3.034,-0.754009,-0.654648,2.87328
3.035,-0.754661,-0.64793,2.87328
3.036,-0.755305,-0.641208,2.87328
3.037,-0.755943,-0.63448,2.87328
3.038,-0.756574,-0.627749,2.87328
3.039,-0.757199,-0.621013,2.87328
3.04,-0.757816,-0.614272,2.87328
3.041,-0.758427,-0.607527,2.87328
3.042,-0.759031,-0.600778,2.87328
3.043,-0.759629,-0.594024,2.87328
3.044,-0.760219,-0.587267,2.87328
3.045,-0.760803,-0.580505,2.87328
3.046,-0.76138,-0.573738,2.87328
3.047,-0.761951,-0.566968,2.87328
3.048,-0.762514,-0.560194,2.87328
3.049,-0.763071,-0.553416,2.87328
3.05,-0.763621,-0.546634,2.87328
3.051,-0.764164,-0.539848,2.87328
3.052,-0.764701,-0.533058,2.87328
3.053,-0.765231,-0.526265,2.87328
3.054,-0.765753,-0.519467,2.87328
3.055,-0.766269,-0.512666,2.87328
3.056,-0.766779,-0.505862,2.87328
3.057,-0.767281,-0.499054,2.87328
3.058,-0.767777,-0.492242,2.87328
3.059,-0.768266,-0.485427,2.87328
3.06,-0.768748,-0.478608,2.87328
3.061,-0.769223,-0.471786,2.87328
3.062,-0.769691,-0.464961,2.87328
3.063,-0.770153,-0.458133,2.87328
3.064,-0.770607,-0.451301,2.87328
3.065,-0.771055,-0.444466,2.87328
3.066,-0.771496,-0.437628,2.87328
3.067,-0.771931,-0.430787,2.87328
3.068,-0.772358,-0.423942,2.87328
3.069,-0.772779,-0.417095,2.87328
3.07,-0.773192,-0.410245,2.87328
3.071,-0.773599,-0.403392,2.87328
3.072,-0.773999,-0.396536,2.87328
3.073,-0.774392,-0.389678,2.87328
3.074,-0.774778,-0.382817,2.87328
3.075,-0.775158,-0.375953,2.87328
3.076,-0.77553,-0.369086,2.87328
3.077,-0.775896,-0.362217,2.87328
3.078,-0.776255,-0.355345,2.87328
3.079,-0.776607,-0.348471,2.87328
3.08,-0.776952,-0.341594,2.87328
3.081,-0.77729,-0.334715,2.87328
3.082,-0.777621,-0.327834,2.87328
3.083,-0.777945,-0.32095,2.87328
3.084,-0.778263,-0.314064,2.87328
3.085,-0.778574,-0.307176,2.87328
3.086,-0.778877,-0.300286,2.87328
3.087,-0.779174,-0.293393,2.87328
3.088,-0.779464,-0.286499,2.87328
3.089,-0.779747,-0.279602,2.87328
3.09,-0.780023,-0.272704,2.87328
3.091,-0.780293,-0.265804,2.87328
3.092,-0.780555,-0.258902,2.87328
3.093,-0.78081,-0.251998,2.87328
3.094,-0.781059,-0.245092,2.87328
3.095,-0.781301,-0.238185,2.87328
3.096,-0.781535,-0.231275,2.87328
3.097,-0.781763,-0.224365,2.87328
3.098,-0.781984,-0.217453,2.87328
3.099,-0.782198,-0.210539,2.87328
3.1,-0.782405,-0.203624,2.87328
3.101,-0.782605,-0.196707,2.87328
3.102,-0.782798,-0.189789,2.87328
3.103,-0.782985,-0.18287,2.87328
3.104,-0.783164,-0.175949,2.87328
3.105,-0.783337,-0.169027,2.87328
3.106,-0.783502,-0.162104,2.87328
3.107,-0.783661,-0.15518,2.87328
3.108,-0.783813,-0.148255,2.87328
3.109,-0.783957,-0.141329,2.87328
3.11,-0.784095,-0.134402,2.87328
3.111,-0.784226,-0.127473,2.87328
3.112,-0.78435,-0.120544,2.87328
3.113,-0.784467,-0.113615,2.87328
3.114,-0.784577,-0.106684,2.87328
3.115,-0.784681,-0.0997526,2.87328
3.116,-0.784777,-0.0928205,2.87328
3.117,-0.784866,-0.0858878,2.87328
3.118,-0.784949,-0.0789544,2.87328
3.119,-0.785024,-0.0720206,2.87328
3.12,-0.785093,-0.0650862,2.87328
3.121,-0.785154,-0.0581514,2.87328
3.122,-0.785209,-0.0512162,2.87328
3.123,-0.785257,-0.0442806,2.87328
3.124,-0.785298,-0.0373447,2.87328
3.125,-0.785332,-0.0304086,2.87328
3.126,-0.785358,-0.0234722,2.87328
3.127,-0.785378,-0.0165357,2.87328
3.128,-0.785392,-0.00959907,2.87328
3.129,-0.785398,-0.00266237,2.87328
3.13,-0.785397,0.00427434,2.87328
3.131,-0.785389,0.011211,2.87328
3.132,-0.785374,0.0181476,2.87328
3.133,-0.785353,0.0250841,2.87328
3.134,-0.785324,0.0320204,2.87328
3.135,-0.785289,0.0389565,2.87328
3.136,-0.785246,0.0458923,2.87328
3.137,-0.785197,0.0528278,2.87328
3.138,-0.785141,0.059763,2.87328
3.139,-0.785077,0.0666977,2.87328
3.14,-0.785007,0.0736319,2.87328
3.141,-0.78493,0.0805657,2.87328
3.142,-0.784846,0.0874988,2.87328
3.143,-0.784755,0.0944314,2.87328
3.144,-0.784657,0.101363,2.87328
3.145,-0.784552,0.108295,2.87328
3.146,-0.784441,0.115225,2.87328
3.147,-0.784322,0.122155,2.87328
3.148,-0.784196,0.129084,2.87328
3.149,-0.784064,0.136011,2.87328
3.15,-0.783924,0.142938,2.87328
3.151,-0.783778,0.149864,2.87328
3.152,-0.783625,0.156789,2.87328
3.153,-0.783464,0.163713,2.87328
3.154,-0.783297,0.170636,2.87328
3.155,-0.783123,0.177557,2.87328
3.156,-0.782942,0.184478,2.87328
3.157,-0.782754,0.191397,2.87328
3.158,-0.782559,0.198314,2.87328
3.159,-0.782358,0.205231,2.87328
3.16,-0.782149,0.212146,2.87328
3.161,-0.781933,0.219059,2.87328
3.162,-0.781711,0.225971,2.87328
3.163,-0.781481,0.232881,2.87328
3.164,-0.781245,0.23979,2.87328
3.165,-0.781002,0.246697,2.87328
3.166,-0.780752,0.253602,2.87328
3.167,-0.780495,0.260506,2.87328
3.168,-0.780231,0.267407,2.87328
3.169,-0.77996,0.274307,2.87328
3.17,-0.779682,0.281205,2.87328
3.171,-0.779397,0.288101,2.87328
3.172,-0.779106,0.294995,2.87328
3.173,-0.778807,0.301887,2.87328
3.174,-0.778502,0.308777,2.87328
3.175,-0.77819,0.315664,2.87328
3.176,-0.777871,0.32255,2.87328
3.177,-0.777545,0.329433,2.87328
3.178,-0.777212,0.336314,2.87328
3.179,-0.776872,0.343192,2.87328
3.18,-0.776525,0.350068,2.87328
3.181,-0.776172,0.356942,2.87328
3.182,-0.775812,0.363813,2.87328
3.183,-0.775444,0.370682,2.87328
3.184,-0.77507,0.377548,2.87328
3.185,-0.774689,0.384411,2.87328
3.186,-0.774301,0.391272,2.87328
3.187,-0.773907,0.39813,2.87328
3.188,-0.773505,0.404985,2.87328
3.189,-0.773097,0.411837,2.87328
3.19,-0.772681,0.418687,2.87328
3.191,-0.772259,0.425533,2.87328
3.192,-0.77183,0.432377,2.87328
3.193,-0.771395,0.439217,2.87328
3.194,-0.770952,0.446054,2.87328
3.195,-0.770502,0.452889,2.87328
3.196,-0.770046,0.45972,2.87328
3.197,-0.769583,0.466547,2.87328
3.198,-0.769113,0.473372,2.87328
3.199,-0.768636,0.480193,2.87328
3.2,-0.768153,0.487011,2.87328
3.201,-0.767662,0.493825,2.87328
3.202,-0.767165,0.500636,2.87328
3.203,-0.766661,0.507443,2.87328
3.204,-0.76615,0.514247,2.87328
3.205,-0.765632,0.521047,2.87328
3.206,-0.765108,0.527844,2.87328
3.207,-0.764577,0.534636,2.87328
3.208,-0.764039,0.541425,2.87328
3.209,-0.763494,0.54821,2.87328
3.21,-0.762942,0.554991,2.87328
3.211,-0.762384,0.561769,2.87328
3.212,-0.761819,0.568542,2.87328
3.213,-0.761247,0.575311,2.87328
3.214,-0.760668,0.582076,2.87328
3.215,-0.760083,0.588837,2.87328
3.216,-0.759491,0.595594,2.87328
3.217,-0.758892,0.602347,2.87328
3.218,-0.758286,0.609095,2.87328
3.219,-0.757673,0.615839,2.87328
3.22,-0.757054,0.622578,2.87328
3.221,-0.756428,0.629314,2.87328
3.222,-0.755796,0.636044,2.87328
3.223,-0.755156,0.64277,2.87328
3.224,-0.75451,0.649492,2.87328
3.225,-0.753857,0.656209,2.87328
3.226,-0.753198,0.662921,2.87328
3.227,-0.752531,0.669628,2.87328
3.228,-0.751858,0.676331,2.87328
3.229,-0.751179,0.683029,2.87328
3.23,-0.750492,0.689721,2.87328
3.231,-0.749799,0.696409,2.87328
3.232,-0.749099,0.703092,2.87328
3.233,-0.748393,0.70977,2.87328
3.234,-0.74768,0.716443,2.87328
3.235,-0.74696,0.723111,2.87328
3.236,-0.746234,0.729773,2.87328
3.237,-0.745501,0.73643,2.87328
3.238,-0.744761,0.743082,2.87328
3.239,-0.744014,0.749728,2.87328
3.24,-0.743261,0.75637,2.87328
3.241,-0.742502,0.763005,2.87328
3.242,-0.741735,0.769635,2.87328
3.243,-0.740962,0.77626,2.87328
3.244,-0.740183,0.782879,2.87328
3.245,-0.739397,0.789492,2.87328
3.246,-0.738604,0.796099,2.87328
3.247,-0.737804,0.802701,2.87328
3.248,-0.736998,0.809297,2.87328
3.249,-0.736186,0.815887,2.87328
3.25,-0.735367,0.822471,2.87328
3.251,-0.734541,0.829049,2.87328
3.252,-0.733709,0.835622,2.87328
3.253,-0.73287,0.842188,2.87328
3.254,-0.732024,0.848747,2.87328
3.255,-0.731172,0.855301,2.87328
3.256,-0.730314,0.861848,2.87328
3.257,-0.729448,0.86839,2.87328
3.258,-0.728577,0.874924,2.87328
3.259,-0.727699,0.881453,2.87328
3.26,-0.726814,0.887975,2.87328
3.261,-0.725923,0.89449,2.87328
3.262,-0.725025,0.900999,2.87328
3.263,-0.724121,0.907501,2.87328
3.264,-0.72321,0.913997,2.87328
3.265,-0.722293,0.920486,2.87328
3.266,-0.721369,0.926968,2.87328
3.267,-0.720439,0.933443,2.87328
3.268,-0.719502,0.939911,2.87328
3.269,-0.718559,0.946373,2.87328
3.27,-0.717609,0.952827,2.87328
3.271,-0.716653,0.959274,2.87328
3.272,-0.715691,0.965715,2.87328
3.273,-0.714722,0.972148,2.87328
3.274,-0.713747,0.978574,2.87328
3.275,-0.712765,0.984992,2.87328
3.276,-0.711777,0.991404,2.87328
3.277,-0.710782,0.997808,2.87328
3.278,-0.709781,1.0042,2.87328
3.279,-0.708774,1.01059,2.87328
3.28,-0.70776,1.01698,2.87328
3.281,-0.70674,1.02335,2.87328
3.282,-0.705713,1.02972,2.87328
3.283,-0.70468,1.03607,2.87328
3.284,-0.703641,1.04243,2.87328
3.285,-0.702595,1.04877,2.87328
3.286,-0.701543,1.0551,2.87328
3.287,-0.700485,1.06143,2.87328
3.288,-0.699421,1.06775,2.87328
3.289,-0.69835,1.07406,2.87328
3.29,-0.697272,1.08037,2.87328
3.291,-0.696189,1.08666,2.87328
3.292,-0.695099,1.09295,2.87328
3.293,-0.694003,1.09923,2.87328
3.294,-0.692901,1.1055,2.87328
3.295,-0.691792,1.11176,2.87328
3.296,-0.690677,1.11801,2.87328
3.297,-0.689556,1.12426,2.87328
3.298,-0.688429,1.13049,2.87328
3.299,-0.687295,1.13672,2.87328
3.3,-0.686155,1.14294,2.87328
3.301,-0.685009,1.14915,2.87328
3.302,-0.683857,1.15536,2.87328
3.303,-0.682698,1.16155,2.87328
3.304,-0.681534,1.16773,2.87328
3.305,-0.680363,1.17391,2.87328
3.306,-0.679186,1.18008,2.87328
3.307,-0.678003,1.18623,2.87328
3.308,-0.676813,1.19238,2.87328
3.309,-0.675618,1.19852,2.87328
3.31,-0.674416,1.20465,2.87328
3.311,-0.673209,1.21077,2.87328
3.312,-0.671995,1.21689,2.87328
3.313,-0.670775,1.22299,2.87328
3.314,-0.669549,1.22908,2.87328
3.315,-0.668317,1.23516,2.87328
3.316,-0.667079,1.24124,2.87328
3.317,-0.665834,1.2473,2.87328
3.318,-0.664584,1.25336,2.87328
3.319,-0.663328,1.2594,2.87328
3.32,-0.662065,1.26544,2.87328
3.321,-0.660797,1.27147,2.87328
3.322,-0.659522,1.27748,2.87328
3.323,-0.658242,1.28349,2.87328
